accountNo, accountType, issuerAccount, amount
00300201,2,00100041,1200000
00300202,2,00100042,930000
00300203,2,00100043,1200000
00300204,2,00100044,1110000
00300205,2,00100045,1020000
00300206,2,00100046,1110000
00300207,2,00100047,1110000
00300208,2,00100048,1020000
00300209,2,00100049,1020000
00300210,2,00100050,1200000
00300211,2,00100051,1020000
00300212,2,00100052,1020000
00300213,2,00100053,930000
00300214,2,00100054,1200000
00300215,2,00100055,1200000
00300216,2,00100056,1020000
00300217,2,00100057,1110000
00300218,2,00100058,930000
00300219,2,00100059,1110000
00300220,2,00100060,1110000
00300221,2,00100061,1200000
00300222,2,00100062,1200000
00300223,2,00100063,1020000
00300224,2,00100064,1110000
00300225,2,00100065,1020000
00300226,2,00100066,1200000
00300227,2,00100067,1110000
00300228,2,00100068,1020000
00300229,2,00100069,1200000
00300230,2,00100070,1200000
00300231,2,00100071,1200000
00300232,2,00100072,1110000
00300233,2,00100073,1200000
00300234,2,00100074,1200000
00300235,2,00100075,930000
00300236,2,00100076,1200000
00300237,2,00100077,1200000
00300238,2,00100078,1200000
00300239,2,00100079,1200000
00300240,2,00100080,1200000
00300241,2,00100001,930000
00300242,2,00100002,1110000
00300243,2,00100003,1110000
00300244,2,00100004,1020000
00300245,2,00100005,1020000
00300246,2,00100006,1110000
00300247,2,00100007,1110000
00300248,2,00100008,1110000
00300249,2,00100009,1110000
00300250,2,00100010,1200000
00300251,2,00100011,1200000
00300252,2,00100012,1110000
00300253,2,00100013,1200000
00300254,2,00100014,1020000
00300255,2,00100015,1200000
00300256,2,00100016,1200000
00300257,2,00100017,1110000
00300258,2,00100018,1110000
00300259,2,00100019,1110000
00300260,2,00100020,1110000
00300261,2,00100021,1110000
00300262,2,00100022,1110000
00300263,2,00100023,1200000
00300264,2,00100024,1200000
00300265,2,00100025,1200000
00300266,2,00100026,1020000
00300267,2,00100027,1110000
00300268,2,00100028,1200000
00300269,2,00100029,1200000
00300270,2,00100030,1110000
00300271,2,00100031,930000
00300272,2,00100032,1200000
00300273,2,00100033,1110000
00300274,2,00100034,1110000
00300275,2,00100035,1110000
00300276,2,00100036,1020000
00300277,2,00100037,1110000
00300278,2,00100038,1020000
00300279,2,00100039,1200000
00300280,2,00100040,1110000
00300281,2,00100041,1200000
00300282,2,00100042,1200000
00300283,2,00100043,1110000
00300284,2,00100044,1110000
00300285,2,00100045,1020000
00300286,2,00100046,930000
00300287,2,00100047,1020000
00300288,2,00100048,1110000
00300289,2,00100049,1200000
00300290,2,00100050,1200000
00300291,2,00100051,840000
00300292,2,00100052,1110000
00300293,2,00100053,1110000
00300294,2,00100054,1200000
00300295,2,00100055,1200000
00300296,2,00100056,1200000
00300297,2,00100057,1200000
00300298,2,00100058,1200000
00300299,2,00100059,1200000
00300300,2,00100060,1110000
00300301,2,00100061,1200000
00300302,2,00100062,1110000
00300303,2,00100063,1020000
00300304,2,00100064,1200000
00300305,2,00100065,1110000
00300306,2,00100066,1020000
00300307,2,00100067,1110000
00300308,2,00100068,1110000
00300309,2,00100069,1110000
00300310,2,00100070,1110000
00300311,2,00100071,1110000
00300312,2,00100072,1020000
00300313,2,00100073,1110000
00300314,2,00100074,1200000
00300315,2,00100075,1110000
00300316,2,00100076,1110000
00300317,2,00100077,1200000
00300318,2,00100078,1110000
00300319,2,00100079,1110000
00300320,2,00100080,1110000
00300321,2,00100001,1110000
00300322,2,00100002,1110000
00300323,2,00100003,1020000
00300324,2,00100004,1200000
00300325,2,00100005,1200000
00300326,2,00100006,1110000
00300327,2,00100007,1020000
00300328,2,00100008,1110000
00300329,2,00100009,1110000
00300330,2,00100010,1200000
00300331,2,00100011,1110000
00300332,2,00100012,1200000
00300333,2,00100013,1020000
00300334,2,00100014,1110000
00300335,2,00100015,1200000
00300336,2,00100016,1200000
00300337,2,00100017,1020000
00300338,2,00100018,1110000
00300339,2,00100019,1200000
00300340,2,00100020,1020000
00300341,2,00100021,1200000
00300342,2,00100022,1110000
00300343,2,00100023,1200000
00300344,2,00100024,1020000
00300345,2,00100025,1110000
00300346,2,00100026,1200000
00300347,2,00100027,1200000
00300348,2,00100028,1200000
00300349,2,00100029,1200000
00300350,2,00100030,1200000
00300351,2,00100031,930000
00300352,2,00100032,1110000
00300353,2,00100033,1110000
00300354,2,00100034,1020000
00300355,2,00100035,1110000
00300356,2,00100036,1020000
00300357,2,00100037,1110000
00300358,2,00100038,1110000
00300359,2,00100039,1110000
00300360,2,00100040,1020000
00300361,2,00100041,1110000
00300362,2,00100042,1200000
00300363,2,00100043,1200000
00300364,2,00100044,1020000
00300365,2,00100045,1200000
00300366,2,00100046,1110000
00300367,2,00100047,1200000
00300368,2,00100048,1200000
00300369,2,00100049,1200000
00300370,2,00100050,1110000
00300371,2,00100051,1110000
00300372,2,00100052,750000
00300373,2,00100053,1200000
00300374,2,00100054,1110000
00300375,2,00100055,1110000
00300376,2,00100056,1200000
00300377,2,00100057,1110000
00300378,2,00100058,1110000
00300379,2,00100059,1200000
00300380,2,00100060,840000
00300381,2,00100061,930000
00300382,2,00100062,1110000
00300383,2,00100063,1200000
00300384,2,00100064,1110000
00300385,2,00100065,930000
00300386,2,00100066,1200000
00300387,2,00100067,1110000
00300388,2,00100068,1110000
00300389,2,00100069,1200000
00300390,2,00100070,1200000
00300391,2,00100071,1020000
00300392,2,00100072,1110000
00300393,2,00100073,1110000
00300394,2,00100074,1110000
00300395,2,00100075,930000
00300396,2,00100076,1110000
00300397,2,00100077,1200000
00300398,2,00100078,1020000
00300399,2,00100079,930000
00300400,2,00100080,1200000
00300401,2,00100001,1110000
00300402,2,00100002,1200000
00300403,2,00100003,1110000
00300404,2,00100004,1110000
00300405,2,00100005,1200000
00300406,2,00100006,1110000
00300407,2,00100007,1200000
00300408,2,00100008,1110000
00300409,2,00100009,840000
00300410,2,00100010,1200000
00300411,2,00100011,1110000
00300412,2,00100012,930000
00300413,2,00100013,1020000
00300414,2,00100014,1200000
00300415,2,00100015,1110000
00300416,2,00100016,1020000
00300417,2,00100017,1110000
00300418,2,00100018,1110000
00300419,2,00100019,1110000
00300420,2,00100020,1020000
00300421,2,00100021,1110000
00300422,2,00100022,1200000
00300423,2,00100023,1020000
00300424,2,00100024,1200000
00300425,2,00100025,930000
00300426,2,00100026,1110000
00300427,2,00100027,1020000
00300428,2,00100028,1200000
00300429,2,00100029,1110000
00300430,2,00100030,1110000
00300431,2,00100031,1020000
00300432,2,00100032,1200000
00300433,2,00100033,1200000
00300434,2,00100034,1200000
00300435,2,00100035,1020000
00300436,2,00100036,840000
00300437,2,00100037,1200000
00300438,2,00100038,1200000
00300439,2,00100039,1110000
00300440,2,00100040,1110000
00300441,2,00100041,1200000
00300442,2,00100042,1020000
00300443,2,00100043,1200000
00300444,2,00100044,1110000
00300445,2,00100045,1200000
00300446,2,00100046,1110000
00300447,2,00100047,1110000
00300448,2,00100048,930000
00300449,2,00100049,1200000
00300450,2,00100050,1110000
00300451,2,00100051,1110000
00300452,2,00100052,1110000
00300453,2,00100053,1110000
00300454,2,00100054,1110000
00300455,2,00100055,1200000
00300456,2,00100056,1110000
00300457,2,00100057,1200000
00300458,2,00100058,1200000
00300459,2,00100059,1200000
00300460,2,00100060,1200000
00300461,2,00100061,1200000
00300462,2,00100062,1200000
00300463,2,00100063,1110000
00300464,2,00100064,1200000
00300465,2,00100065,1110000
00300466,2,00100066,1020000
00300467,2,00100067,1110000
00300468,2,00100068,1020000
00300469,2,00100069,1200000
00300470,2,00100070,1110000
00300471,2,00100071,1110000
00300472,2,00100072,1110000
00300473,2,00100073,1200000
00300474,2,00100074,1200000
00300475,2,00100075,1200000
00300476,2,00100076,1200000
00300477,2,00100077,1110000
00300478,2,00100078,1200000
00300479,2,00100079,1110000
00300480,2,00100080,1110000
00300481,2,00100001,1110000
00300482,2,00100002,1110000
00300483,2,00100003,1200000
00300484,2,00100004,1110000
00300485,2,00100005,1110000
00300486,2,00100006,930000
00300487,2,00100007,1020000
00300488,2,00100008,1110000
00300489,2,00100009,840000
00300490,2,00100010,1200000
00300491,2,00100011,1200000
00300492,2,00100012,1200000
00300493,2,00100013,1200000
00300494,2,00100014,1020000
00300495,2,00100015,1110000
00300496,2,00100016,1110000
00300497,2,00100017,1200000
00300498,2,00100018,1200000
00300499,2,00100019,1110000
00300500,2,00100020,1110000
00300501,2,00100021,1110000
00300502,2,00100022,1200000
00300503,2,00100023,1110000
00300504,2,00100024,1020000
00300505,2,00100025,1020000
00300506,2,00100026,1020000
00300507,2,00100027,1110000
00300508,2,00100028,1020000
00300509,2,00100029,1020000
00300510,2,00100030,1200000
00300511,2,00100031,1110000
00300512,2,00100032,1200000
00300513,2,00100033,1110000
00300514,2,00100034,1200000
00300515,2,00100035,1200000
00300516,2,00100036,1200000
00300517,2,00100037,1020000
00300518,2,00100038,1020000
00300519,2,00100039,1110000
00300520,2,00100040,1200000
00300521,2,00100041,1200000
00300522,2,00100042,1110000
00300523,2,00100043,1020000
00300524,2,00100044,1200000
00300525,2,00100045,1200000
00300526,2,00100046,1020000
00300527,2,00100047,1200000
00300528,2,00100048,1110000
00300529,2,00100049,1110000
00300530,2,00100050,1200000
00300531,2,00100051,1110000
00300532,2,00100052,1200000
00300533,2,00100053,1110000
00300534,2,00100054,1200000
00300535,2,00100055,1200000
00300536,2,00100056,1020000
00300537,2,00100057,1200000
00300538,2,00100058,1110000
00300539,2,00100059,1200000
00300540,2,00100060,1110000
00300541,2,00100061,1110000
00300542,2,00100062,930000
00300543,2,00100063,1020000
00300544,2,00100064,1110000
00300545,2,00100065,1020000
00300546,2,00100066,1200000
00300547,2,00100067,1200000
00300548,2,00100068,1020000
00300549,2,00100069,1110000
00300550,2,00100070,1110000
00300551,2,00100071,1110000
00300552,2,00100072,1110000
00300553,2,00100073,1110000
00300554,2,00100074,1200000
00300555,2,00100075,1110000
00300556,2,00100076,1020000
00300557,2,00100077,1200000
00300558,2,00100078,1020000
00300559,2,00100079,1020000
00300560,2,00100080,1110000
00300561,2,00100001,930000
00300562,2,00100002,1020000
00300563,2,00100003,1110000
00300564,2,00100004,1110000
00300565,2,00100005,1110000
00300566,2,00100006,1020000
00300567,2,00100007,1110000
00300568,2,00100008,1200000
00300569,2,00100009,1110000
00300570,2,00100010,1200000
00300571,2,00100011,1020000
00300572,2,00100012,1110000
00300573,2,00100013,1020000
00300574,2,00100014,1110000
00300575,2,00100015,1110000
00300576,2,00100016,1200000
00300577,2,00100017,1200000
00300578,2,00100018,1020000
00300579,2,00100019,1110000
00300580,2,00100020,1110000
00300581,2,00100021,1200000
00300582,2,00100022,1200000
00300583,2,00100023,1110000
00300584,2,00100024,1110000
00300585,2,00100025,1200000
00300586,2,00100026,1110000
00300587,2,00100027,1020000
00300588,2,00100028,1110000
00300589,2,00100029,1110000
00300590,2,00100030,1200000
00300591,2,00100031,1020000
00300592,2,00100032,1110000
00300593,2,00100033,1020000
00300594,2,00100034,1020000
00300595,2,00100035,1200000
00300596,2,00100036,1200000
00300597,2,00100037,1110000
00300598,2,00100038,1110000
00300599,2,00100039,1110000
00300600,2,00100040,1110000
00300601,2,00100041,1200000
00300602,2,00100042,1200000
00300603,2,00100043,1110000
00300604,2,00100044,1200000
00300605,2,00100045,750000
00300606,2,00100046,1110000
00300607,2,00100047,930000
00300608,2,00100048,1200000
00300609,2,00100049,1200000
00300610,2,00100050,1110000
00300611,2,00100051,1200000
00300612,2,00100052,1200000
00300613,2,00100053,1200000
00300614,2,00100054,1020000
00300615,2,00100055,1020000
00300616,2,00100056,1110000
00300617,2,00100057,1020000
00300618,2,00100058,930000
00300619,2,00100059,1020000
00300620,2,00100060,1200000
00300621,2,00100061,1110000
00300622,2,00100062,1110000
00300623,2,00100063,1200000
00300624,2,00100064,1200000
00300625,2,00100065,1200000
00300626,2,00100066,930000
00300627,2,00100067,1200000
00300628,2,00100068,1200000
00300629,2,00100069,1110000
00300630,2,00100070,1110000
00300631,2,00100071,1200000
00300632,2,00100072,1020000
00300633,2,00100073,1110000
00300634,2,00100074,1200000
00300635,2,00100075,1110000
00300636,2,00100076,1200000
00300637,2,00100077,1200000
00300638,2,00100078,1200000
00300639,2,00100079,1110000
00300640,2,00100080,1020000
00300641,2,00100001,1110000
00300642,2,00100002,840000
00300643,2,00100003,1200000
00300644,2,00100004,930000
00300645,2,00100005,1200000
00300646,2,00100006,1020000
00300647,2,00100007,750000
00300648,2,00100008,1020000
00300649,2,00100009,1200000
00300650,2,00100010,930000
00300651,2,00100011,1020000
00300652,2,00100012,1200000
00300653,2,00100013,1200000
00300654,2,00100014,1020000
00300655,2,00100015,1200000
00300656,2,00100016,1200000
00300657,2,00100017,1020000
00300658,2,00100018,1110000
00300659,2,00100019,1110000
00300660,2,00100020,1200000
00300661,2,00100021,1110000
00300662,2,00100022,1110000
00300663,2,00100023,1110000
00300664,2,00100024,1110000
00300665,2,00100025,1200000
00300666,2,00100026,1200000
00300667,2,00100027,1020000
00300668,2,00100028,840000
00300669,2,00100029,930000
00300670,2,00100030,1200000
00300671,2,00100031,1020000
00300672,2,00100032,1020000
00300673,2,00100033,1020000
00300674,2,00100034,1110000
00300675,2,00100035,1200000
00300676,2,00100036,1200000
00300677,2,00100037,1200000
00300678,2,00100038,1110000
00300679,2,00100039,1110000
00300680,2,00100040,1020000
00300681,2,00100041,750000
00300682,2,00100042,1200000
00300683,2,00100043,1110000
00300684,2,00100044,1110000
00300685,2,00100045,1200000
00300686,2,00100046,930000
00300687,2,00100047,930000
00300688,2,00100048,1200000
00300689,2,00100049,1020000
00300690,2,00100050,1200000
00300691,2,00100051,1110000
00300692,2,00100052,930000
00300693,2,00100053,1110000
00300694,2,00100054,1110000
00300695,2,00100055,1110000
00300696,2,00100056,1110000
00300697,2,00100057,1200000
00300698,2,00100058,1200000
00300699,2,00100059,1200000
00300700,2,00100060,1200000
00300701,2,00100061,1110000
00300702,2,00100062,1110000
00300703,2,00100063,1110000
00300704,2,00100064,1020000
00300705,2,00100065,1020000
00300706,2,00100066,1200000
00300707,2,00100067,1200000
00300708,2,00100068,1200000
00300709,2,00100069,1110000
00300710,2,00100070,1020000
00300711,2,00100071,1110000
00300712,2,00100072,1110000
00300713,2,00100073,1110000
00300714,2,00100074,1020000
00300715,2,00100075,1200000
00300716,2,00100076,1110000
00300717,2,00100077,1020000
00300718,2,00100078,1110000
00300719,2,00100079,1110000
00300720,2,00100080,1110000
00300721,2,00100001,1110000
00300722,2,00100002,1200000
00300723,2,00100003,1200000
00300724,2,00100004,1200000
00300725,2,00100005,930000
00300726,2,00100006,1110000
00300727,2,00100007,1110000
00300728,2,00100008,1200000
00300729,2,00100009,1200000
00300730,2,00100010,1110000
00300731,2,00100011,1200000
00300732,2,00100012,1110000
00300733,2,00100013,1020000
00300734,2,00100014,1110000
00300735,2,00100015,840000
00300736,2,00100016,1200000
00300737,2,00100017,1200000
00300738,2,00100018,1200000
00300739,2,00100019,1020000
00300740,2,00100020,1200000
00300741,2,00100021,1200000
00300742,2,00100022,1200000
00300743,2,00100023,1200000
00300744,2,00100024,1020000
00300745,2,00100025,930000
00300746,2,00100026,1110000
00300747,2,00100027,1020000
00300748,2,00100028,1110000
00300749,2,00100029,1200000
00300750,2,00100030,1200000
00300751,2,00100031,1110000
00300752,2,00100032,1110000
00300753,2,00100033,1200000
00300754,2,00100034,1200000
00300755,2,00100035,1200000
00300756,2,00100036,1020000
00300757,2,00100037,1200000
00300758,2,00100038,1110000
00300759,2,00100039,1200000
00300760,2,00100040,1110000
00300761,2,00100041,1200000
00300762,2,00100042,1200000
00300763,2,00100043,1200000
00300764,2,00100044,1110000
00300765,2,00100045,1110000
00300766,2,00100046,1200000
00300767,2,00100047,1110000
00300768,2,00100048,1200000
00300769,2,00100049,1200000
00300770,2,00100050,1020000
00300771,2,00100051,1200000
00300772,2,00100052,930000
00300773,2,00100053,1020000
00300774,2,00100054,1200000
00300775,2,00100055,1110000
00300776,2,00100056,1110000
00300777,2,00100057,1110000
00300778,2,00100058,1200000
00300779,2,00100059,1110000
00300780,2,00100060,1200000
00300781,2,00100061,1200000
00300782,2,00100062,1200000
00300783,2,00100063,1200000
00300784,2,00100064,840000
00300785,2,00100065,1110000
00300786,2,00100066,1020000
00300787,2,00100067,1110000
00300788,2,00100068,1020000
00300789,2,00100069,1110000
00300790,2,00100070,1020000
00300791,2,00100071,1110000
00300792,2,00100072,1110000
00300793,2,00100073,1200000
00300794,2,00100074,1110000
00300795,2,00100075,1200000
00300796,2,00100076,1020000
00300797,2,00100077,1110000
00300798,2,00100078,1110000
00300799,2,00100079,1110000
00300800,2,00100080,1110000
00300801,2,00100001,1200000
00300802,2,00100002,930000
00300803,2,00100003,1020000
00300804,2,00100004,1110000
00300805,2,00100005,1110000
00300806,2,00100006,1200000
00300807,2,00100007,1020000
00300808,2,00100008,930000
00300809,2,00100009,1110000
00300810,2,00100010,1020000
00300811,2,00100011,1200000
00300812,2,00100012,1020000
00300813,2,00100013,930000
00300814,2,00100014,1020000
00300815,2,00100015,1020000
00300816,2,00100016,1110000
00300817,2,00100017,1200000
00300818,2,00100018,1110000
00300819,2,00100019,1110000
00300820,2,00100020,1020000
00300821,2,00100021,1200000
00300822,2,00100022,1200000
00300823,2,00100023,1200000
00300824,2,00100024,1110000
00300825,2,00100025,1020000
00300826,2,00100026,1110000
00300827,2,00100027,1020000
00300828,2,00100028,930000
00300829,2,00100029,1200000
00300830,2,00100030,1200000
00300831,2,00100031,1110000
00300832,2,00100032,1200000
00300833,2,00100033,1110000
00300834,2,00100034,1200000
00300835,2,00100035,1110000
00300836,2,00100036,1020000
00300837,2,00100037,1020000
00300838,2,00100038,1110000
00300839,2,00100039,1200000
00300840,2,00100040,1110000
00300841,2,00100041,1200000
00300842,2,00100042,1200000
00300843,2,00100043,1110000
00300844,2,00100044,1200000
00300845,2,00100045,1020000
00300846,2,00100046,1020000
00300847,2,00100047,1200000
00300848,2,00100048,1200000
00300849,2,00100049,1200000
00300850,2,00100050,1110000
00300851,2,00100051,1200000
00300852,2,00100052,1200000
00300853,2,00100053,1200000
00300854,2,00100054,1200000
00300855,2,00100055,1110000
00300856,2,00100056,1200000
00300857,2,00100057,1200000
00300858,2,00100058,1110000
00300859,2,00100059,1200000
00300860,2,00100060,1110000
00300861,2,00100061,1020000
00300862,2,00100062,1110000
00300863,2,00100063,1200000
00300864,2,00100064,1020000
00300865,2,00100065,1200000
00300866,2,00100066,1110000
00300867,2,00100067,1020000
00300868,2,00100068,1200000
00300869,2,00100069,1200000
00300870,2,00100070,1200000
00300871,2,00100071,1200000
00300872,2,00100072,1200000
00300873,2,00100073,1020000
00300874,2,00100074,1110000
00300875,2,00100075,1110000
00300876,2,00100076,1200000
00300877,2,00100077,1200000
00300878,2,00100078,1110000
00300879,2,00100079,1110000
00300880,2,00100080,1200000
00300881,2,00100001,1200000
00300882,2,00100002,1020000
00300883,2,00100003,1200000
00300884,2,00100004,1110000
00300885,2,00100005,1200000
00300886,2,00100006,1110000
00300887,2,00100007,1200000
00300888,2,00100008,1020000
00300889,2,00100009,1200000
00300890,2,00100010,1200000
00300891,2,00100011,1020000
00300892,2,00100012,1200000
00300893,2,00100013,1110000
00300894,2,00100014,1020000
00300895,2,00100015,1110000
00300896,2,00100016,1110000
00300897,2,00100017,1200000
00300898,2,00100018,1110000
00300899,2,00100019,930000
00300900,2,00100020,1110000
00300901,2,00100021,1110000
00300902,2,00100022,1110000
00300903,2,00100023,1200000
00300904,2,00100024,1200000
00300905,2,00100025,1110000
00300906,2,00100026,1020000
00300907,2,00100027,1110000
00300908,2,00100028,1020000
00300909,2,00100029,1200000
00300910,2,00100030,1200000
00300911,2,00100031,930000
00300912,2,00100032,1110000
00300913,2,00100033,930000
00300914,2,00100034,930000
00300915,2,00100035,1200000
00300916,2,00100036,1110000
00300917,2,00100037,930000
00300918,2,00100038,1110000
00300919,2,00100039,1200000
00300920,2,00100040,1110000
00300921,2,00100041,1200000
00300922,2,00100042,1200000
00300923,2,00100043,1200000
00300924,2,00100044,1110000
00300925,2,00100045,1200000
00300926,2,00100046,1020000
00300927,2,00100047,1110000
00300928,2,00100048,1110000
00300929,2,00100049,1200000
00300930,2,00100050,1200000
00300931,2,00100051,1200000
00300932,2,00100052,1200000
00300933,2,00100053,1020000
00300934,2,00100054,1200000
00300935,2,00100055,1110000
00300936,2,00100056,1200000
00300937,2,00100057,1110000
00300938,2,00100058,1020000
00300939,2,00100059,930000
00300940,2,00100060,1200000
00300941,2,00100061,1200000
00300942,2,00100062,1200000
00300943,2,00100063,1110000
00300944,2,00100064,1110000
00300945,2,00100065,1110000
00300946,2,00100066,1110000
00300947,2,00100067,1200000
00300948,2,00100068,1200000
00300949,2,00100069,1200000
00300950,2,00100070,1200000
00300951,2,00100071,930000
00300952,2,00100072,1200000
00300953,2,00100073,1200000
00300954,2,00100074,1200000
00300955,2,00100075,1110000
00300956,2,00100076,930000
00300957,2,00100077,1200000
00300958,2,00100078,1200000
00300959,2,00100079,1200000
00300960,2,00100080,1200000
00300961,2,00100001,1200000
00300962,2,00100002,1200000
00300963,2,00100003,1200000
00300964,2,00100004,1020000
00300965,2,00100005,1110000
00300966,2,00100006,1200000
00300967,2,00100007,1200000
00300968,2,00100008,1020000
00300969,2,00100009,1200000
00300970,2,00100010,1200000
00300971,2,00100011,1020000
00300972,2,00100012,1110000
00300973,2,00100013,1200000
00300974,2,00100014,1110000
00300975,2,00100015,1110000
00300976,2,00100016,1020000
00300977,2,00100017,1200000
00300978,2,00100018,1200000
00300979,2,00100019,1110000
00300980,2,00100020,1020000
00300981,2,00100021,1110000
00300982,2,00100022,1200000
00300983,2,00100023,1200000
00300984,2,00100024,930000
00300985,2,00100025,1020000
00300986,2,00100026,1110000
00300987,2,00100027,1020000
00300988,2,00100028,1110000
00300989,2,00100029,1020000
00300990,2,00100030,1110000
00300991,2,00100031,1200000
00300992,2,00100032,1200000
00300993,2,00100033,1110000
00300994,2,00100034,1200000
00300995,2,00100035,1200000
00300996,2,00100036,1020000
00300997,2,00100037,1200000
00300998,2,00100038,1110000
00300999,2,00100039,1200000
00301000,2,00100040,1200000
00301001,2,00100041,1020000
00301002,2,00100042,1110000
